,Borough,Neighborhood,ID,Name,Likes,Rating,Tips
0,Bronx,Co-op City,0,0,0,0,0
1,Bronx,Norwood,0,0,0,0,0
2,Bronx,Pelham Parkway,4b9d6b45f964a52078ab36e3,Mr. Q's Chinese Restaurant,9,7.2,10
3,Bronx,Bedford Park,4e4d0387bd413c4cc66dfd72,Hung Hing Chinese Restaurant,5,6.0,2
4,Bronx,Fordham,0,0,0,0,0
5,Bronx,Fordham,0,0,0,0,0
6,Bronx,High  Bridge,0,0,0,0,0
7,Bronx,High  Bridge,0,0,0,0,0
8,Bronx,Melrose,0,0,0,0,0
9,Bronx,Morrisania,0,0,0,0,0
10,Bronx,Soundview,0,0,0,0,0
11,Bronx,Soundview,0,0,0,0,0
12,Bronx,Parkchester,4b89b62df964a520ff4c32e3,Sabor Latino Seafood Restaurant,6,6.9,8
13,Bronx,Parkchester,0,0,0,0,0
14,Bronx,Van Nest,0,0,0,0,0
15,Bronx,North Riverdale,4ca4fda4d971b1f77da5f2e0,Golden Phoenix Chinese Restaurant,4,5.8,1
16,Bronx,Pelham Bay,0,0,0,0,0
17,Bronx,Pelham Bay,0,0,0,0,0
18,Bronx,Olinville,0,0,0,0,0
19,Bronx,Olinville,0,0,0,0,0
20,Bronx,Pelham Gardens,0,0,0,0,0
21,Bronx,Concourse,4d9a695ee5fd6ea8e3096df5,Lucky House Chinese Restaurant,5,7.6,2
22,Bronx,Concourse,0,0,0,0,0
23,Brooklyn,Bay Ridge,5553702c498ecb85f99d8f37,XIN,6,7.2,4
24,Brooklyn,Bensonhurst,0,0,0,0,0
25,Brooklyn,Bensonhurst,0,0,0,0,0
26,Brooklyn,Greenpoint,4abd867df964a520d78a20e3,Shang Hai Lee,10,6.2,13
27,Brooklyn,Sheepshead Bay,0,0,0,0,0
28,Brooklyn,East Flatbush,0,0,0,0,0
29,Brooklyn,Windsor Terrace,54e39b14498e9c646b42958e,East Wind Snack Shop,138,8.9,50
30,Brooklyn,Windsor Terrace,4c06e2470e0a2d7fdf8aec0c,#1 Garden Chinese Food,4,6.0,4
31,Brooklyn,Brownsville,0,0,0,0,0
32,Brooklyn,Brooklyn Heights,4a9ac078f964a5207c3220e3,Fortune House,36,6.3,25
33,Brooklyn,Brooklyn Heights,4a986a9cf964a520e82b20e3,Great Wall Chinese Food,4,5.8,9
34,Brooklyn,Carroll Gardens,4b09dc38f964a520cf1e23e3,Ting Hua,5,5.6,4
35,Brooklyn,Gowanus,4c60a7cede6920a15f9d9664,Michael and Ping's,30,6.6,27
36,Brooklyn,Park Slope,49bb541ff964a520e3531fe3,Hunan Delight,71,7.2,29
37,Brooklyn,East New York,0,0,0,0,0
38,Brooklyn,East New York,0,0,0,0,0
39,Brooklyn,Marine Park,0,0,0,0,0
40,Brooklyn,Clinton Hill,4a71ff01f964a52016da1fe3,Kum Kau,110,7.7,77
41,Brooklyn,Downtown,59da9590e1f0aa52976b8f35,Han Dynasty,161,8.6,32
